Primary Sequence Name,Sequence Description,Accession #,Affy Probe ID,Gene Symbol,"Correlation Coefficient to (100,0) Layer 4 High template"
LOC700151,"similar to discoidin, CUB and LCCL domain containing 2",XR_010687,MmugDNA.7385.1.S1_at,DCBLD2,0.538380335
C5H4orf27,chromosome 4 open reading frame 27 ortholog,XM_001083741,MmugDNA.30716.1.S1_at,C5H4orf27,0.538098653
LOC710201,similar to polyhomeotic 2-like isoform a,XM_001107739,MmugDNA.26209.1.S1_at,PHC2,0.537106378
Mmu.357.1.S1_x_at,gb:CO646640  DB_XREF=gi:50568134  DB_XREF=ILLUMIGEN_MCQ_39441  CLONE=IBIUW:24926  TID=Mmu.357.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CN801650,Mmu.357.1.S1_x_at,,0.536347386
LOC717131,hypothetical protein LOC717131,XM_001108353,MmugDNA.35650.1.S1_s_at,LOC115294,0.535817519
KCNA2,"potassium voltage-gated channel, shaker-related subfamily, member 2",XM_001101369,MmugDNA.36075.1.S1_at,KCNA2,0.535378168
SLC6A6,"solute carrier family 6 (neurotransmitter transporter, taurine), member 6",XM_001092770,MmugDNA.3751.1.S1_at,LOC112868,0.534437472
GPR161,G protein-coupled receptor 161,XM_001091818,MmugDNA.13359.1.S1_at,GPR161,0.534051517
MmugDNA.25667.1.S1_at,gDNA.Hs.106635.0.S2  FEA=U133PSR  GEN=PIPPIN  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 209981_at RNA-binding protein pippin  REP_ORG=M. mulatta,gDNA.Hs.106635.0,MmugDNA.25667.1.S1_at,PIPPIN,0.533510054
MmugDNA.14760.1.S1_at,"gDNA.Hs.59956.0.A1  FEA=U133PSR  GEN=GRM7  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241049_at glutamate receptor, metabotropic 7  REP_ORG=M. mulatta",gDNA.Hs.59956.0,MmugDNA.14760.1.S1_at,GRM7,0.532732694
HTR2A,5-hydroxytryptamine (serotonin) receptor 2A,S78209,MmugDNA.38977.1.S1_at,HTR2A,0.532712311
LOC703608,"similar to RNA binding motif, single stranded interacting protein 1 isoform c",XM_001091917,MmugDNA.15037.1.S1_at,RBMS1,0.532431233
MmugDNA.13958.1.S1_at,gDNA.Hs.99232.0.S1  FEA=U133PSR  GEN=LRCH1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214936_at Leucine-rich repeats and calponin homology (CH) domain containing 1  REP_ORG=M. mulatta,gDNA.Hs.99232.0,MmugDNA.13958.1.S1_at,LRCH1,0.531828616
LOC701759,similar to Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (TCF-4) (hTCF-4),XM_001090054,MmugDNA.14619.1.S1_at,TCF7L2,0.530848596
ARNTL,aryl hydrocarbon receptor nuclear translocator-like,XM_001094988,MmuSTS.3158.1.S1_at,ARNTL,0.530725994
LIN7A,lin-7 homolog A (C. elegans),XM_001087299,MmugDNA.39970.1.S1_at,LIN7A,0.530659274
LOC714759,similar to zinc finger protein 295,XM_001106639,MmuSTS.2630.1.S1_at,ZNF295,0.530223841
LOC710363,similar to lysophosphatidic acid acyltransferase zeta,XM_001098972,MmugDNA.28117.1.S1_at,DKFZp586M1819,0.528387462
TARDBP,TAR DNA binding protein,XM_001102660,MmugDNA.32410.1.S1_at,TARDBP,0.528247199
NFKBIA,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha",XM_001087727,MmugDNA.23424.1.S1_at,NFKBIA,0.528244762
LOC711901,"similar to TBC1 domain family, member 16",XM_001109846,MmugDNA.22716.1.S1_at,TBC1D16,0.528144773
ZNF684,zinc finger protein 684,XM_001084336,MmugDNA.20845.1.S1_at,ZNF684,0.527773572
MmugDNA.28745.1.S1_at,gDNA.Hs.23964.1.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 212993_at MRNA; cDNA DKFZp667B1718 (from clone DKFZp667B1718)  REP_ORG=M. mulatta,EG705003,MmugDNA.28745.1.S1_at,,0.527280934
LIN9,lin-9 homolog (C. elegans),XM_001091104,MmugDNA.7587.1.S1_at,MDH1,0.527094134
CASKIN1,similar to AT-hook transcription factor,XM_001096711,MmugDNA.37840.1.S1_at,CASKIN1,0.526894338
KLF12,Kruppel-like factor 12,XM_001084517,MmugDNA.7763.1.S1_at,KLF12,0.526827865
LOC718339,similar to Immediate early response gene 5 protein,XR_013882,MmugDNA.13074.1.S1_at,IER5,0.526574587
TRPC3,"transient receptor potential cation channel, subfamily C, member 3",XR_012650,MmugDNA.6643.1.S1_at,TRPC3,0.526328843
LOC699462,"similar to solute carrier family 20 (phosphate transporter), member 1",XM_001089259,MmugDNA.16839.1.S1_at,,0.525990347
MmugDNA.8801.1.S1_at,gDNA.Hs.12513.0.S1  FEA=U133PSR  GEN=LOC157627  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214839_at hypothetical protein LOC157627  REP_ORG=M. mulatta,AY680490,MmugDNA.8801.1.S1_at,LOC157627,0.525689865
MmugDNA.4753.1.S1_at,"gDNA.Hs.59962.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 243179_at CDNA FLJ33993 fis, clone DFNES2007757  REP_ORG=M. mulatta",gDNA.Hs.59962.0,MmugDNA.4753.1.S1_at,,0.525522281
LOC719694,Similar to metalloprotease 1,CN643070,MmugDNA.32115.1.S1_at,,0.525224002
MmugDNA.27026.1.S1_at,gDNA.Hs2.404144.1.S1  FEA=U133PSR  GEN=LENG10  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1564776_at leukocyte receptor cluster (LRC) member 10  REP_ORG=M. mulatta,gDNA.Hs2.404144.1,MmugDNA.27026.1.S1_at,LENG10,0.525169883
FOXP1,forkhead box P1,XM_001083827,MmugDNA.31335.1.S1_at,FOXP1,0.525046238
MFI2,antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5,XM_001096034,MmugDNA.24763.1.S1_at,LOC440995,0.525016821
PHF17,PHD finger protein 17,XM_001083157,MmugDNA.39972.1.S1_at,PHF17,0.524964669
NRG4,neuregulin 4,XM_001104381,MmugDNA.11489.1.S1_at,NRG4,0.524861028
MmuSTS.2615.1.S1_at,"gi:60301221  DEF=EPB41 _7595 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA7595, sequence tagged site  REP_ORG=M. mulatta",60301221,MmuSTS.2615.1.S1_at,EPB41,0.523996217
LOC713926,"similar to rhomboid, veinlet-like 3",XM_001112686,MmugDNA.23894.1.S1_at,RHBDL4,0.52387227
MmugDNA.16584.1.S1_at,gDNA.Hs.306627.0.S1  FEA=U133PSR  GEN=SMYD2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 233713_at SET and MYND domain containing 2  REP_ORG=M. mulatta,gDNA.Hs.306627.0,MmugDNA.16584.1.S1_at,SMYD2,0.523641212
LOC722785,hypothetical protein LOC722785,XR_014805,MmugDNA.29232.1.S1_at,LOC126755,0.523136453
LOC720692,"similar to calcium channel, alpha 1A subunit isoform 2",XM_001116376,MmugDNA.1122.1.S1_at,CACNA1A,0.522920194
LOC701759,similar to Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (TCF-4) (hTCF-4),XM_001090054,MmugDNA.14618.1.S1_at,TCF7L2,0.522881052
SLC13A3,solute carrier family 13 member 3,XR_012677,MmugDNA.37522.1.S1_at,SLC13A3,0.522543964
LOC705831,similar to tolloid-like 1,XM_001101883,MmunewRS.874.1.S1_at,TLL1,0.521985885
CTNND1,"catenin (cadherin-associated protein), delta 1",XM_001096864,MmugDNA.40674.1.S1_s_at,CTNND1,0.521797298
LRRK1,leucine-rich repeat kinase 1,XM_001084079,MmuSTS.4540.1.S1_at,LRRK1,0.521119981
LOC703752,similar to cryptochrome 1 (photolyase-like),XM_001100653,MmuSTS.3962.1.S1_at,CRY1,0.521118666
LOC701890,gDNA.Hs.33922.0.S1  FEA=U133PSR  GEN=MGC9084  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 213528_at hypothetical protein MGC9084  REP_ORG=M. mulatta,XP_001096286,MmugDNA.4982.1.S1_at,MGC9084,0.521058801
SMPX,"small muscle protein, X-linked",XM_001086790,MmugDNA.28443.1.S1_at,SMPX,0.52073223
LOC708051,similar to CASK-interacting protein CIP98,XM_001096493,MmuSTS.1292.1.S1_at,DFNB31,0.520719024
SF3A1,"splicing factor 3a, subunit 1, 120kDa",XM_001108788,MmugDNA.615.1.S1_s_at,SF3A1,0.520654015
PTEN,phosphatase and tensin homolog,XM_001102446,MmuSTS.2051.1.S1_at,PTEN,0.520625445
PANK1,pantothenate kinase 1,XM_001086909,MmuSTS.1089.1.S1_at,PANK1,0.520348361
LOC722131,"similar to Complement C1r subcomponent precursor (Complement component 1, r subcomponent)",XR_014707,MmuSTS.793.1.S1_at,C1R,0.520326657
MFAP3L,microfibrillar-associated protein 3-like,XM_001084068,MmugDNA.3209.1.S1_at,MFAP3L,0.5200599
LOC715966,similar to Protein C6orf47 (Protein G4),XM_001112658,MmugDNA.18670.1.S1_s_at,C6orf47,0.519894393
LOC697171,similar to Neuromedin U-25 precursor (NmU-25),XM_001085777,MmugDNA.15621.1.S1_at,NMU,0.519847809
MmugDNA.11547.1.S1_at,gDNA.Hs.12926.0.A1  FEA=U133PSR  GEN=LOC146174  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227351_at hypothetical protein LOC146174  REP_ORG=M. mulatta,gDNA.Hs.12926.0,MmugDNA.11547.1.S1_at,LOC146174,0.519479162
MmugDNA.192.1.S1_at,gDNA.Hs2.271566.1.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1559214_at  REP_ORG=M. mulatta,XP_855521,MmugDNA.192.1.S1_at,,0.519454033
SLC38A1,"solute carrier family 38, member 1",XM_001094126,MmugDNA.38096.1.S1_s_at,SLC38A1,0.519077276
SEPHS1,selenophosphate synthetase 1,XM_001086299,MmugDNA.23152.1.S1_at,SEPHS1,0.518507745
MICAL3,"microtubule associated monoxygenase, calponin and LIM domain containing 3",XM_001103660,MmugDNA.25614.1.S1_at,MICAL3,0.518409154
TSPAN9,gDNA.g13775195  FEA=U133PSR  GEN=PP1057  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 220968_s_at Ribosomal protein S27 (metallopanstimulin 1)     Ribosomal protein S27 (metallopanstimulin 1)  REP_ORG=M. mulatta,gDNA,MmugDNA.19049.1.S1_at,PP1057,0.518305769
LOC707482,hypothetical protein LOC707482,XM_001104538,MmugDNA.18351.1.S1_at,C15orf27,0.518145084
MmugDNA.23541.1.S1_at,gDNA.Hs.10198.0.A1  FEA=U133PSR  GEN=C3orf6  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226713_at chromosome 3 open reading frame 6  REP_ORG=M. mulatta,gDNA.Hs.10198.0,MmugDNA.23541.1.S1_at,C3orf6,0.517922371
CACNA2D2,"similar to calcium channel, voltage-dependent, alpha 2/delta subunit 2 isoform b",XM_001090735,MmuSTS.3280.1.S1_at,CACNA2D2,0.517613921
CAMTA1,calmodulin binding transcription activator 1,XM_001118241,MmugDNA.22430.1.S1_at,CAMTA1,0.51760412
MmugDNA.11096.1.S1_at,"gDNA.Hs2.349970.1.S2  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1552726_at CDNA FLJ32967 fis, clone TESTI2008715  REP_ORG=M. mulatta",gDNA.Hs2.349970.1,MmugDNA.11096.1.S1_at,,0.517424866
LOC714480,similar to ceramide kinase isoform a,XM_001111087,MmugDNA.42847.1.S1_s_at,CERK,0.517106036
LOC712152,similar to ring finger protein 146,XM_001106643,MmugDNA.7669.1.S1_at,RNF146,0.516552366
LOC700587,hypothetical protein LOC700587,XM_001093133,MmugDNA.25585.1.S1_at,,0.515843448
LOC694629,similar to associated molecule with the SH3 domain of STAM (AMSH) like protein,XM_001083976,MmugDNA.36662.1.S1_at,AMSH-LP,0.515533761
MmuSTS.3842.1.S1_at,"gi:62000601  DEF=STC1_8652 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA8652, sequence tagged site  REP_ORG=M. mulatta",62000601,MmuSTS.3842.1.S1_at,STC1,0.515237933
ZNF561,zinc finger protein 561,DQ148184,MmugDNA.39324.1.S1_at,,0.514929426
LOC696004,similar to glucocorticoid induced transcript 1,XR_010365,MmugDNA.1913.1.S1_at,GLCCI1,0.514694829
MmugDNA.39803.1.S1_at,"gDNA.Hs.25560.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229577_at Transcribed locus, weakly similar to XP_498467.1 hypothetical gene supported by NM_194304 [Homo sapiens]  REP_ORG=M. mulatta",gDNA.Hs.25560.0,MmugDNA.39803.1.S1_at,,0.513027761
FOXN3,forkhead box N3,XM_001088315,MmugDNA.29945.1.S1_at,FOXN3,0.512499485
PTEN,phosphatase and tensin homolog,XM_001102446,MmugDNA.10971.1.S1_at,PTEN,0.512339852
LOC722000,similar to Tristetraproline (TTP) (Zinc finger protein 36 homolog) (Zfp-36) (TIS11A protein) (TIS11) (Growth factor-inducible nuclear protein NUP475) (G0/G1 switch regulatory protein 24),XR_014689,MmugDNA.37678.1.S1_at,KIAA1456,0.512113635
LOC718705,hypothetical protein LOC718705,XR_013986,MmugDNA.15656.1.S1_at,IRF2BP2,0.511782846
BCL2L11,BCL2-like 11 (apoptosis facilitator),XM_001086237,MmugDNA.43021.1.S1_at,BCL2L11,0.511688978
MmugDNA.40976.1.S1_at,"gDNA.Hs.88605.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 232709_at CDNA FLJ13427 fis, clone PLACE1002477  REP_ORG=M. mulatta",gDNA.Hs.88605.0,MmugDNA.40976.1.S1_at,,0.510948443
HNRPA1,gDNA.Hs.249495.7.S1  FEA=U133PSR  GEN=HNRPA1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214280_x_at heterogeneous nuclear ribonucleoprotein A1  REP_ORG=M. mulatta,XP_001170900,MmugDNA.12803.1.S1_s_at,HNRPA1,0.510634711
MmugDNA.15342.1.S1_at,gDNA.Hs.63984.1.A1  FEA=U133PSR  GEN=LOC440823  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227168_at hypothetical gene supported by AK098833  REP_ORG=M. mulatta,gDNA.Hs.63984.1,MmugDNA.15342.1.S1_at,LOC440823,0.508556363
MmugDNA.4450.1.S1_at,gDNA.Hs.150033.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 237688_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.150033.0,MmugDNA.4450.1.S1_at,,0.508343288
CTNND1,"catenin (cadherin-associated protein), delta 1",XM_001096864,MmugDNA.18141.1.S1_at,CTNND1,0.507451496
NSMAF,neutral sphingomyelinase (N-SMase) activation associated factor,XM_001088417,MmugDNA.43246.1.S1_at,NSMAF,0.507256818
CCDC136,coiled-coil domain containing 136,XM_001090156,MmugDNA.9008.1.S1_at,CCDC136,0.507178524
MmugDNA.32508.1.S1_at,gDNA.Hs.201377.0.S2  FEA=U133PSR  GEN=ENTPD4  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 204076_at ectonucleoside triphosphate diphosphohydrolase 4  REP_ORG=M. mulatta,gDNA.Hs.201377.0,MmugDNA.32508.1.S1_at,ENTPD4,0.506587416
LOC711788,similar to homolog of yeast ribosome biogenesis regulatory protein RRS1,XM_001100635,MmuSTS.3276.1.S1_at,RRS1,0.505530287
LOC697805,similar to thymosin-like 8,XM_001086343,MmugDNA.40563.1.S1_at,MGC39900,0.504969086
LOC712589,"similar to ATPase, Class VI, type 11A isoform b",XM_001101635,MmugDNA.32054.1.S1_at,ATP11A,0.504772857
MmugDNA.24433.1.S1_at,"gDNA.Hs.24305.0.A1  FEA=U133PSR  GEN=PDE3A  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228507_at Phosphodiesterase 3A, cGMP-inhibited  REP_ORG=M. mulatta",gDNA.Hs.24305.0,MmugDNA.24433.1.S1_at,PDE3A,0.504203046
LOC714707,similar to uromodulin-like 1 isoform 2,XR_013296,MmugDNA.21539.1.S1_at,UMODL1,0.503658957
MmugDNA.25557.1.S1_at,gDNA.Hs.83938.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229111_at  REP_ORG=M. mulatta,gDNA.Hs.83938.0,MmugDNA.25557.1.S1_at,,0.503305368
MmugDNA.32972.1.S1_at,"gDNA.Hs.33024.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241365_at CDNA FLJ42259 fis, clone TKIDN2011289  REP_ORG=M. mulatta",gDNA.Hs.33024.0,MmugDNA.32972.1.S1_at,,0.502958542
LOC703608,"similar to RNA binding motif, single stranded interacting protein 1 isoform c",XM_001091917,MmugDNA.27217.1.S1_s_at,RBMS1,0.50294328
GAD2,glutamate decarboxylase 2,XM_001101800,MmugDNA.40703.1.S1_at,GAD2,0.501995602
LOC708585,hypothetical protein LOC708585,XM_001097061,MmugDNA.32767.1.S1_at,C10orf59,0.50174069
LOC710062,hypothetical protein LOC710062,XR_012155,MmugDNA.30046.1.S1_at,GABRD,0.501576505
PGBD1,piggyBac transposable element derived 1,XM_001099547,MmugDNA.8545.1.S1_at,PGBD1,0.500141626
